| Rank | Advertiser | 2020 assignment / context | CLASS | Code |
|---:|---|---|---|---|
| 1 | BIDEN FOR PRESIDENT | Official Joe Biden presidential campaign | **Democratic** | `DEM_PRES_BIDEN` |
| 2 | DONALD J. TRUMP FOR PRESIDENT, INC. | Official Donald Trump presidential campaign | **Republican** | `REP_PRES_TRUMP` |
| 3 | MIKE BLOOMBERG 2020 INC | Michael Bloomberg Democratic presidential primary campaign | **Democratic** | `DEM_PRIMARY` |
| 4 | TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE | Trump/Pence joint fundraising committee | **Republican** | `REP_PRES_TRUMP` |
| 5 | BIDEN VICTORY FUND | Biden/DNC joint fundraising committee | **Democratic** | `DEM_PRES_BIDEN` |
| 6 | DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE | Democratic National Committee; Biden-aligned in general election | **Democratic** | `DEM_PRES_BIDEN` |
| 7 | DSCC | Democratic Senatorial Campaign Committee | **Democratic** | `DEM_DOWNBALLOT` |
| 8 | PRIORITIES USA ACTION | Major Democratic super PAC; pro-Biden/anti-Trump in 2020 | **Democratic** | `DEM_ALIGNED_PAC` |
| 9 | NRSC | National Republican Senatorial Committee | **Republican** | `REP_DOWNBALLOT` |
| 10 | AMERICA FIRST ACTION, INC. | Pro-Trump Republican super PAC | **Republican** | `REP_ALIGNED_PAC` |
| 11 | SENATE LEADERSHIP FUND | Republican Senate super PAC | **Republican** | `REP_ALIGNED_PAC` |
| 12 | YES ON 22 - SAVE APP-BASED JOBS & SERVICES | California Prop 22 ballot-measure campaign; not Biden/Trump | **Republican** | `REP_ALIGNED_PAC` |
| 13 | Republican National Committee | Republican National Committee; Trump-aligned in general election | **Republican** | `REP_PRES_TRUMP` |
| 14 | TEAM GRAHAM, INC. | Lindsey Graham Republican Senate campaign | **Republican** | `REP_DOWNBALLOT` |
| 15 | BERNIE 2020 | Bernie Sanders Democratic presidential primary campaign | **Democratic** | `DEM_PRIMARY` |
| 16 | SMP | Senate Majority PAC; Democratic Senate super PAC | **Democratic** | `DEM_ALIGNED_PAC` |
| 17 | JAIME HARRISON FOR US SENATE | Jaime Harrison Democratic Senate campaign, South Carolina | **Democratic** | `DEM_DOWNBALLOT` |
| 18 | Mark Kelly for Senate | Mark Kelly Democratic Senate campaign, Arizona | **Democratic** | `DEM_DOWNBALLOT` |
| 19 | PRESERVE AMERICA PAC | Pro-Trump super PAC supporting Trump reelection | **Republican** | `REP_ALIGNED_PAC` |
| 20 | AMY MCGRATH FOR SENATE, INC. | Amy McGrath Democratic Senate campaign, Kentucky | **Democratic** | `DEM_DOWNBALLOT` |
| 21 | JON OSSOFF FOR SENATE | Jon Ossoff Democratic Senate campaign, Georgia | **Democratic** | `DEM_DOWNBALLOT` |
| 22 | AMERICANS FOR PROSPERITY ACTION INC | Koch-network conservative/libertarian-leaning PAC; generally GOP-aligned | **Republican** | `REP_ALIGNED_PAC` |
| 23 | CONGRESSIONAL LEADERSHIP FUND | Republican House super PAC | **Republican** | `REP_ALIGNED_PAC` |
| 24 | STOP REPUBLICANS | Anti-Republican Democratic/progressive-style advertiser | **Anti-Republican** | `DEM_ALIGNED_PAC` |
| 25 | THERESA GREENFIELD FOR IOWA, INC. | Theresa Greenfield Democratic Senate campaign, Iowa | **Democratic** | `DEM_DOWNBALLOT` |
| 26 | THE LINCOLN PROJECT | Anti-Trump group founded by Republicans/ex-Republicans; effectively pro-Biden in 2020 | **Anti-Trump** | `DEM_ALIGNED_PAC` |
| 27 | Priorities USA Action & SMP | Joint Democratic super PAC activity: pro-Biden + Democratic Senate | **Democratic** | `DEM_ALIGNED_PAC` |
| 28 | NO ON 23 - STOP THE DANGEROUS & COSTLY DIALYSIS PR | California Prop 23 ballot-measure opposition; not presidential | **Unsure/Issue** | `BALLOT_ISSUE` |
| 29 | NRCC | National Republican Congressional Committee | **Republican** | `REP_DOWNBALLOT` |
| 30 | PETE FOR AMERICA, INC. | Pete Buttigieg Democratic presidential primary campaign | **Democratic** | `DEM_PRIMARY` |
| 31 | VOTE YES FOR FAIRNESS | Illinois “Fair Tax” ballot-measure campaign; backed by Democratic/progressive side but still primarily an issue campaign | **Democratic** | `DEM_ALIGNED_ISSUE` |
| 32 | House Majority PAC | Democratic House super PAC | **Democratic** | `DEM_ALIGNED_PAC` |
| 33 | TOM STEYER 2020 | Tom Steyer Democratic presidential primary campaign | **Democratic** | `DEM_PRIMARY` |
| 34 | One Nation | Conservative/Republican-aligned nonprofit, often active in Senate races | **Republican** | `REP_ALIGNED_PAC` |
| 35 | MCSALLY FOR SENATE INC | Martha McSally Republican Senate campaign, Arizona | **Republican** | `REP_DOWNBALLOT` |
| 36 | MONTANANS FOR BULLOCK | Steve Bullock Democratic Senate campaign, Montana | **Democratic** | `DEM_DOWNBALLOT` |
| 37 | GEORGIA ACTION FUND | Republican super PAC active in Georgia; best coded GOP-aligned | **Republican** | `REP_ALIGNED_PAC` |
| 38 | DCCC | Democratic Congressional Campaign Committee | **Democratic** | `DEM_DOWNBALLOT` |
| 39 | NRA Victory Fund, Inc. | NRA political fund; conservative/Republican-aligned | **Republican** | `REP_ALIGNED_PAC` |
| 40 | Steve Daines for Montana | Steve Daines Republican Senate campaign, Montana | **Republican** | `REP_DOWNBALLOT` |
| 41 | CAL FOR NC | Cal Cunningham Democratic Senate campaign, North Carolina | **Democratic** | `DEM_DOWNBALLOT` |
| 42 | PETERS FOR MICHIGAN | Gary Peters Democratic Senate campaign, Michigan | **Democratic** | `DEM_DOWNBALLOT` |
| 43 | INDEPENDENCE USA PAC | Michael Bloomberg-associated PAC; generally anti-Republican/Democratic-aligned in 2020 | **Democratic** | `DEM_ALIGNED_PAC` |
| 44 | HOME BOX OFFICE, INC. | HBO/media company; not a candidate or party committee | **Commercial/Media** | `COMMERCIAL_MEDIA_UNCLEAR` |
| 45 | Hickenlooper for Colorado | John Hickenlooper Democratic Senate campaign, Colorado | **Democratic** | `DEM_DOWNBALLOT` |
| 46 | SARA GIDEON FOR MAINE | Sara Gideon Democratic Senate campaign, Maine | **Democratic** | `DEM_DOWNBALLOT` |
| 47 | WARNOCK FOR GEORGIA | Raphael Warnock Democratic Senate campaign, Georgia | **Democratic** | `DEM_DOWNBALLOT` |
| 48 | TEXANS FOR SENATOR JOHN CORNYN INC. | John Cornyn Republican Senate campaign, Texas | **Republican** | `REP_DOWNBALLOT` |
| 49 | MCCONNELL SENATE COMMITTEE | Mitch McConnell Republican Senate campaign, Kentucky | **Republican** | `REP_DOWNBALLOT` |
| 50 | SCHOOLS AND COMMUNITIES FIRST | California Prop 15 campaign; progressive/Democratic-aligned tax ballot measure | **Democratic** | `DEM_ALIGNED_ISSUE` |
| 51 | AMERICAN BRIDGE 21ST CENTURY | Democratic opposition-research / anti-Republican PAC | **Anti-Republican** | `DEM_ALIGNED_PAC` |
| 52 | Progressive Turnout Project | Democratic/progressive voter-turnout organization | **Democratic** | `DEM_ALIGNED_PAC` |
| 53 | BOLLIER FOR KANSAS | Barbara Bollier Democratic Senate campaign, Kansas | **Democratic** | `DEM_DOWNBALLOT` |
| 54 | ALLIANCE FOR A BETTER MINNESOTA ACTION FUND | Minnesota progressive/Democratic-aligned advocacy group | **Democratic** | `DEM_ALIGNED_PAC` |
| 55 | Money Metals Exchange LLC | Precious-metals business; not clearly a candidate/party advertiser | **Commercial/Media** | `COMMERCIAL_MEDIA_UNCLEAR` |
| 56 | Joni for Iowa | Joni Ernst Republican Senate campaign, Iowa | **Republican** | `REP_DOWNBALLOT` |
| 57 | PRIORITIES USA | Democratic/pro-Biden super PAC family | **Democratic** | `DEM_ALIGNED_PAC` |
| 58 | PRIORITIES USA & MAJORITY FORWARD | Democratic-aligned joint spending: Priorities USA plus Majority Forward/Senate Democratic network | **Democratic** | `DEM_ALIGNED_PAC` |
| 59 | EPOCH USA INC. | Epoch/Epoch Times-related media advertiser; conservative/pro-Trump media ecosystem, but not an official campaign | **Commercial/Media** | `COMMERCIAL_MEDIA_UNCLEAR` |
| 60 | LEAGUE OF CONSERVATION VOTERS VICTORY FUND & PRIOR... | Environmental Democratic-aligned super PAC activity with Priorities USA | **Democratic** | `DEM_ALIGNED_PAC` |
| 61 | CITIZENS FOR FREE ENTERPRISE | Free-market/business conservative PAC; spent in support of Republicans and against Democrats | **Republican** | `REP_ALIGNED_PAC` |
| 62 | JEXAN LLC | Commercial/unclear digital advertiser; not clearly a campaign or party committee from name alone | **Commercial/Media** | `COMMERCIAL_MEDIA_UNCLEAR` |
